ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,displayName,PriceNumerator,PriceDenominator,FullDescription
NSECO,124010,2,SILVERM,SILVERM24FEB63500PE,OPTFUT,SILVERM-OPTFUT,4405100124010,360,0.5,121,0.5,1,5,4100100000010,,2024-02-20T14:30:00,63500,4,SILVERM 20FEB2024 PE 63500,1,1,SILVERM24FEB63500PE
NSECO,123024,2,SILVERM,SILVERM24FEB80500PE,OPTFUT,SILVERM-OPTFUT,4405100123024,11560,1011,121,0.5,1,5,4100100000010,,2024-02-20T14:30:00,80500,4,SILVERM 20FEB2024 PE 80500,1,1,SILVERM24FEB80500PE
NSECO,124577,2,GOLD,GOLD24JUL63500CE,OPTFUT,GOLD-OPTFUT,4420700124577,9410,1886,11,0.5,1,100,4100100000001,,2024-07-25T14:30:00,63500,3,GOLD 25JUL2024 CE 63500,1,1,GOLD24JUL63500CE
NSECO,122448,2,COPPER,COPPER24APR740PE,OPTFUT,COPPER-OPTFUT,4411000122448,35.38,0.01,71,0.01,1,2500,4100100000008,,2024-04-19T14:30:00,740,4,COPPER 19APR2024 PE 740,1,1,COPPER24APR740PE
NSECO,122042,2,GOLD,GOLD24SEP64400CE,OPTFUT,GOLD-OPTFUT,4426800122042,10078.5,2792.5,11,0.5,1,100,4100100000001,,2024-09-24T14:30:00,64400,3,GOLD 24SEP2024 CE 64400,1,1,GOLD24SEP64400CE
NSECO,123547,2,GOLD,GOLD24JUL58100CE,OPTFUT,GOLD-OPTFUT,4420700123547,15423.5,5048.5,11,0.5,1,100,4100100000001,,2024-07-25T14:30:00,58100,3,GOLD 25JUL2024 CE 58100,1,1,GOLD24JUL58100CE
NSECO,122077,2,SILVER,SILVER24APR76000CE,OPTBLN,SILVER-OPTBLN,4411700122077,7075.5,472.5,21,0.5,1,30,4100100000003,,2024-04-26T14:30:00,76000,3,SILVER 26APR2024 CE 76000,1,1,SILVER24APR76000CE
NSECO,123450,2,GOLD,GOLD24MAY58300PE,OPTFUT,GOLD-OPTFUT,4414800123450,533.5,0.5,11,0.5,1,100,4100100000001,,2024-05-27T14:30:00,58300,4,GOLD 27MAY2024 PE 58300,1,1,GOLD24MAY58300PE
NSECO,124924,2,GOLDM,GOLDM24JAN57200CE,OPTFUT,GOLDM-OPTFUT,4402400124924,11852,497,101,0.5,1,10,4100100000002,,2024-01-24T14:30:00,57200,3,GOLDM 24JAN2024 CE 57200,1,1,GOLDM24JAN57200CE
NSECO,121868,2,GOLD,GOLD24MAR61500CE,OPTFUT,GOLD-OPTFUT,4408600121868,8535.5,0.5,11,0.5,1,100,4100100000001,,2024-03-26T14:30:00,61500,3,GOLD 26MAR2024 CE 61500,1,1,GOLD24MAR61500CE
NSECO,125213,2,GOLD,GOLD24NOV64300CE,OPTFUT,GOLD-OPTFUT,4433100125213,11849.5,4174.5,11,0.5,1,100,4100100000001,,2024-11-26T14:30:00,64300,3,GOLD 26NOV2024 CE 64300,1,1,GOLD24NOV64300CE
NSECO,124788,2,GOLDM,GOLDM24JAN61800CE,OPTFUT,GOLDM-OPTFUT,4402400124788,6344.5,0.5,101,0.5,1,10,4100100000002,,2024-01-24T14:30:00,61800,3,GOLDM 24JAN2024 CE 61800,1,1,GOLDM24JAN61800CE
NSECO,122781,2,WTICRUDE,WTICRUDE24JAN5600PE,OPTFUT,WTICRUDE-OPTFUT,4401700122781,193.1,0.1,101,0.1,1,100,4100100000011,,2024-01-17T14:30:00,5600,4,WTICRUDE 17JAN2024 PE 5600,1,1,WTICRUDE24JAN5600PE
NSECO,121871,2,GOLD,GOLD24MAR61600PE,OPTFUT,GOLD-OPTFUT,4408600121871,1675,0.5,11,0.5,1,100,4100100000001,,2024-03-26T14:30:00,61600,4,GOLD 26MAR2024 PE 61600,1,1,GOLD24MAR61600PE
NSECO,122576,2,WTICRUDE,WTICRUDE24JAN4800CE,OPTFUT,WTICRUDE-OPTFUT,4401700122576,1682.8,617.6,101,0.1,1,100,4100100000011,,2024-01-17T14:30:00,4800,3,WTICRUDE 17JAN2024 CE 4800,1,1,WTICRUDE24JAN4800CE
NSECO,123045,2,GOLDM,GOLDM24FEB65900CE,OPTFUT,GOLDM-OPTFUT,4405400123045,1908,0.5,101,0.5,1,10,4100100000002,,2024-02-23T14:30:00,65900,3,GOLDM 23FEB2024 CE 65900,1,1,GOLDM24FEB65900CE
NSECO,122811,2,WTICRUDE,WTICRUDE24JAN6350PE,OPTFUT,WTICRUDE-OPTFUT,4401700122811,867,74.2,101,0.1,1,100,4100100000011,,2024-01-17T14:30:00,6350,4,WTICRUDE 17JAN2024 PE 6350,1,1,WTICRUDE24JAN6350PE
NSECO,122840,2,WTICRUDE,WTICRUDE24JAN7100CE,OPTFUT,WTICRUDE-OPTFUT,4401700122840,20.4,0.1,101,0.1,1,100,4100100000011,,2024-01-17T14:30:00,7100,3,WTICRUDE 17JAN2024 CE 7100,1,1,WTICRUDE24JAN7100CE
NSECO,123737,2,SILVERM,SILVERM24NOV73250CE,OPTFUT,SILVERM-OPTFUT,4432500123737,17281.5,8575.5,121,0.5,1,5,4100100000010,,2024-11-20T14:30:00,73250,3,SILVERM 20NOV2024 CE 73250,1,1,SILVERM24NOV73250CE
NSECO,122713,2,WTICRUDE,WTICRUDE24MAR5550PE,OPTFUT,WTICRUDE-OPTFUT,4407500122713,371.5,56.1,101,0.1,1,100,4100100000011,,2024-03-15T14:30:00,5550,4,WTICRUDE 15MAR2024 PE 5550,1,1,WTICRUDE24MAR5550PE
NSECO,122120,2,NATURALGAS,NATURALGAS24MAR145CE,OPTFUT,NATURALGAS-OPTFUT,4408100122120,88.3,53.7,49,0.05,1,1250,4100100000014,,2024-03-21T14:30:00,145,3,NATURALGAS 21MAR2024 CE 145,1,1,NATURALGAS24MAR145CE
NSECO,123273,2,GOLD,GOLD24JAN59700CE,OPTFUT,GOLD-OPTFUT,4402400123273,9657,0.5,11,0.5,1,100,4100100000001,,2024-01-24T14:30:00,59700,3,GOLD 24JAN2024 CE 59700,1,1,GOLD24JAN59700CE
NSECO,123722,2,SILVERM,SILVERM24NOV71250PE,OPTFUT,SILVERM-OPTFUT,4432500123722,4456,488,121,0.5,1,5,4100100000010,,2024-11-20T14:30:00,71250,4,SILVERM 20NOV2024 PE 71250,1,1,SILVERM24NOV71250PE
NSECO,122514,2,GOLD,GOLD24MAY63100PE,OPTFUT,GOLD-OPTFUT,4414800122514,2583,0.5,11,0.5,1,100,4100100000001,,2024-05-27T14:30:00,63100,4,GOLD 27MAY2024 PE 63100,1,1,GOLD24MAY63100PE
NSECO,121688,2,GOLD,GOLD24MAY60900CE,OPTFUT,GOLD-OPTFUT,4414800121688,10814.5,1678.5,11,0.5,1,100,4100100000001,,2024-05-27T14:30:00,60900,3,GOLD 27MAY2024 CE 60900,1,1,GOLD24MAY60900CE
NSECO,123721,2,SILVERM,SILVERM24NOV71250CE,OPTFUT,SILVERM-OPTFUT,4432500123721,18866,9603,121,0.5,1,5,4100100000010,,2024-11-20T14:30:00,71250,3,SILVERM 20NOV2024 CE 71250,1,1,SILVERM24NOV71250CE
NSECO,125057,2,GOLDM,GOLDM24FEB62200CE,OPTFUT,GOLDM-OPTFUT,4405400125057,6148,0.5,101,0.5,1,10,4100100000002,,2024-02-23T14:30:00,62200,3,GOLDM 23FEB2024 CE 62200,1,1,GOLDM24FEB62200CE
NSECO,122420,2,GOLD,GOLD24SEP63000CE,OPTFUT,GOLD-OPTFUT,4426800122420,11566.5,3448.5,11,0.5,1,100,4100100000001,,2024-09-24T14:30:00,63000,3,GOLD 24SEP2024 CE 63000,1,1,GOLD24SEP63000CE
