ExchangeSegment,ExchangeInstrumentId,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentId,PriceBandHigh,PriceBandLow,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
BSEFO,851659,2,MOTILALOFS,MOTILALOFS26AUG1100PE,SO,MOTILALOFS-SO,12623900851659,228.6,83.6,100000000,0.05,775,1,11100100532892,MOTILALOFS,2026-08-27T00:00:00,1100,4,MOTILALOFS 27AUG2026 PE 1100,1,1,MOTILALOFS26AUG1100PE
BSEFO,841278,2,SAIL,SAIL26AUG152.5PE,SO,SAIL-SO,12623900841278,24.6,0.05,320000,0.05,4700,1,11100100500113,SAIL,2026-08-27T00:00:00,152.5,4,SAIL 27AUG2026 PE 152.5,1,1,SAIL26AUG152.5PE
BSEFO,837994,2,CANBK,CANBK26AUG129PE,SO,CANBK-SO,12623900837994,11.8,2.15,81000,0.05,6750,1,11100100532483,CANBK,2026-08-27T00:00:00,129,4,CANBK 27AUG2026 PE 129,1,1,CANBK26AUG129PE
BSEFO,822013,2,SENSEX,SENSEX2670971300CE,IO,SENSEX-IO,12619000822013,9056.45,3498.1,1000,0.05,20,1,-1,SENSEX,2026-07-09T00:00:00,71300,3,SENSEX 09JUL2026 CE 71300,1,1,SENSEX2670971300CE
BSEFO,831803,2,GVT&D,GVT&D26AUG5200PE,SO,GVT&D-SO,12623900831803,859.95,233.65,100000000,0.05,125,1,11100100522275,GVT&D,2026-08-27T00:00:00,5200,4,GVT&D 27AUG2026 PE 5200,1,1,GVT&D26AUG5200PE
BSEFO,824008,2,DALBHARAT,DALBHARAT26AUG1880CE,SO,DALBHARAT-SO,12623900824008,80.95,0.05,15000,0.05,325,1,11100100542216,DALBHARAT,2026-08-27T00:00:00,1880,3,DALBHARAT 27AUG2026 CE 1880,1,1,DALBHARAT26AUG1880CE
BSEFO,822197,2,SENSEX,SENSEX2670972700PE,IO,SENSEX-IO,12619000822197,20.05,0.05,1000,0.05,20,1,-1,SENSEX,2026-07-09T00:00:00,72700,4,SENSEX 09JUL2026 PE 72700,1,1,SENSEX2670972700PE
BSEFO,848323,2,VEDL,VEDL26SEP290CE,SO,VEDL-SO,12626700848323,40.5,0.5,80000,0.05,1150,1,11100100500295,VEDL,2026-09-24T00:00:00,290,3,VEDL 24SEP2026 CE 290,1,1,VEDL26SEP290CE
BSEFO,832691,2,INDHOTEL,INDHOTEL26AUG625CE,SO,INDHOTEL-SO,12623900832691,149.6,58.2,60000,0.05,1000,1,11100100500850,INDHOTEL,2026-08-27T00:00:00,625,3,INDHOTEL 27AUG2026 CE 625,1,1,INDHOTEL26AUG625CE
BSEFO,825199,2,PREMIERENE,PREMIERENE26AUG1120CE,SO,PREMIERENE-SO,12623900825199,78.05,0.05,100000000,0.05,650,1,11100100544238,PREMIERENE,2026-08-27T00:00:00,1120,3,PREMIERENE 27AUG2026 CE 1120,1,1,PREMIERENE26AUG1120CE
BSEFO,1137894,2,SBILIFE,SBILIFE26JUL1700CE,SO,SBILIFE-SO,12621101137894,179.35,25.75,22500,0.05,375,1,11100100540719,SBILIFE,2026-07-30T00:00:00,1700,3,SBILIFE 30JUL2026 CE 1700,1,1,SBILIFE26JUL1700CE
